Date,EmpID,Gender,Age,EthnicGroup,FP,TermDate,isNewHire,BU Region,HireDate,PayType,TermReason,AgeGroup,TenureDays,TenureMonths,BadHires
8/1/2017,1842,F,24,Group E,PT,,Yes,North,8/21/2013,Hourly, ,<30,0,0,0
8/1/2017,1924,M,25,Group G,PT,, ,North,1/5/2012,Hourly, ,<30,574,19.13,0
8/1/2017,1950,M,38,Group A,PT,, ,North,8/27/2008,Hourly, ,30-49,1800,60,0
8/1/2017,1958,M,21,Group B,PT,,Yes,North,8/21/2013,Hourly, ,<30,0,0,0
8/1/2017,1966,M,35,Group A,PT,, ,North,9/8/2012,Hourly, ,30-49,327,10.9,0
8/1/2017,1988,F,19,Group A,PT,,Yes,Midwest,8/24/2013,Hourly, ,<30,0,0,0
8/1/2017,2056,M,19,Group D,PT,, ,Midwest,6/14/2013,Hourly, ,<30,48,1.6,0
8/1/2017,2058,M,24,Group F,PT,,Yes,Midwest,8/8/2013,Hourly, ,<30,0,0,0
8/1/2017,2090,M,25,Group G,PT,, ,Midwest,6/21/2013,Hourly, ,<30,41,1.37,0
8/1/2017,4076,F,26,Group B,PT,,Yes,South,8/15/2013,Hourly, ,<30,0,0,0
8/1/2017,4138,M,25,Group E,PT,, ,South,7/13/2012,Hourly, ,<30,384,12.8,0
8/1/2017,4154,M,40,Group D,PT,,Yes,South,8/7/2013,Hourly, ,30-49,0,0,0
8/1/2017,4340,F,24,Group B,PT,, ,South,11/1/2012,Hourly, ,<30,273,9.1,0
8/1/2017,5052,F,22,Group C,PT,, ,South,6/2/2011,Hourly, ,<30,791,26.37,0
8/1/2017,5202,M,24,Group E,PT,, ,North,8/12/2010,Hourly, ,<30,1085,36.17,0
8/1/2017,5238,M,18,Group D,PT,, ,North,6/5/2013,Hourly, ,<30,57,1.9,0
8/1/2017,5268,M,19,Group A,PT,,Yes,North,8/16/2013,Hourly, ,<30,0,0,0
8/1/2017,7104,F,24,Group E,PT,, ,North,3/20/2013,Hourly, ,<30,134,4.47,0
8/1/2017,8506,F,20,Group C,PT,, ,Midwest,9/12/2012,Hourly, ,<30,323,10.77,0
8/1/2017,9460,M,20,Group D,PT,, ,North,9/27/2011,Hourly, ,<30,674,22.47,0
8/1/2017,9492,M,33,Group E,PT,,Yes,North,8/8/2013,Hourly, ,30-49,0,0,0
8/1/2017,9502,M,53,Group F,PT,,Yes,North,8/20/2013,Hourly, ,50+,0,0,0
8/1/2017,10522,M,22,Group E,PT,,Yes,South,8/7/2013,Hourly, ,<30,0,0,0
8/1/2017,10742,F,24,Group G,PT,, ,South,6/20/2012,Hourly, ,<30,407,13.57,0
8/1/2017,10970,F,21,Group E,PT,,Yes,South,8/8/2013,Hourly, ,<30,0,0,0
8/1/2017,10980,M,21,Group D,PT,, ,South,7/12/2013,Hourly, ,<30,20,0.67,0
8/1/2017,16664,M,26,Group F,PT,, ,North,9/25/2008,Hourly, ,<30,1771,59.03,0
8/1/2017,16672,F,24,Group G,PT,,Yes,Midwest,8/7/2013,Hourly, ,<30,0,0,0
8/1/2017,16678,M,56,Group A,FT,, ,Northwest,6/7/2012,Hourly, ,50+,420,14,0
8/1/2017,16718,M,27,Group A,PT,, ,South,2/8/2013,Hourly, ,<30,174,5.8,0
8/1/2017,16730,F,76,Group E,FT,, ,North,5/24/2011,Hourly, ,50+,800,26.67,0
8/1/2017,17056,F,19,Group C,PT,, ,West,7/5/2013,Hourly, ,<30,27,0.9,0
8/1/2017,17146,F,23,Group D,PT,, ,West,11/16/2010,Hourly, ,<30,989,32.97,0
8/1/2017,17184,F,22,Group E,FT,,Yes,East,8/24/2013,Hourly, ,<30,0,0,0
8/1/2017,17268,F,20,Group C,PT,,Yes,West,8/20/2013,Hourly, ,<30,0,0,0
8/1/2017,17362,F,28,Group B,FT,, ,East,12/20/2011,Hourly, ,<30,590,19.67,0
8/1/2017,17754,M,30,Group C,PT,,Yes,Northwest,8/15/2013,Hourly, ,30-49,0,0,0
8/1/2017,17854,M,22,Group E,PT,, ,West,3/15/2012,Hourly, ,<30,504,16.8,0
8/1/2017,17998,M,46,Group C,PT,, ,Northwest,9/2/2012,Hourly, ,30-49,333,11.1,0
8/1/2017,18026,M,18,Group G,PT,,Yes,Northwest,8/10/2013,Hourly, ,<30,0,0,0
8/1/2017,18230,M,47,Group A,PT,, ,North,10/24/2007,Hourly, ,30-49,2108,70.27,0
8/1/2017,18926,F,22,Group A,PT,, ,West,11/30/2012,Hourly, ,<30,244,8.13,0
8/1/2017,19130,F,43,Group F,PT,, ,North,9/14/2012,Hourly, ,30-49,321,10.7,0
8/1/2017,19204,F,19,Group G,PT,,Yes,West,8/17/2013,Hourly, ,<30,0,0,0
8/1/2017,19600,F,23,Group A,FT,, ,Northwest,4/27/2011,Hourly, ,<30,827,27.57,0
8/1/2017,19702,F,21,Group E,PT,,Yes,Northwest,8/15/2013,Hourly, ,<30,0,0,0
8/1/2017,20248,M,23,Group E,PT,, ,Northwest,5/30/2013,Hourly, ,<30,63,2.1,0
8/1/2017,20574,M,28,Group B,PT,,Yes,West,8/7/2013,Hourly, ,<30,0,0,0
8/1/2017,20706,M,44,Group F,PT,, ,South,7/21/2011,Hourly, ,30-49,742,24.73,0
8/1/2017,21208,M,29,Group A,FT,, ,Northwest,7/13/2000,Hourly, ,<30,4767,158.9,0
8/1/2017,21544,F,26,Group B,PT,, ,Northwest,9/2/2010,Hourly, ,<30,1064,35.47,0
8/1/2017,22578,F,68,Group C,FT,, ,Northwest,5/5/2011,Hourly, ,50+,819,27.3,0
8/1/2017,23112,F,20,Group G,PT,, ,North,2/22/2012,Hourly, ,<30,526,17.53,0
8/1/2017,23252,M,19,Group F,PT,, ,Central,5/8/2013,Hourly, ,<30,85,2.83,0
8/1/2017,23394,M,22,Group B,PT,, ,Central,9/22/2012,Hourly, ,<30,313,10.43,0
8/1/2017,23402,M,21,Group B,PT,,Yes,Northwest,8/22/2013,Hourly, ,<30,0,0,0
8/1/2017,24614,F,23,Group A,PT,,Yes,North,8/23/2013,Hourly, ,<30,0,0,0
8/1/2017,24692,F,21,Group E,PT,, ,West,7/6/2013,Hourly, ,<30,26,0.87,0
8/1/2017,25044,F,19,Group G,PT,, ,Central,6/21/2013,Hourly, ,<30,41,1.37,0
8/1/2017,25168,F,20,Group D,PT,, ,Midwest,10/25/2012,Hourly, ,<30,280,9.33,0
8/1/2017,25212,F,20,Group F,PT,, ,West,7/17/2013,Hourly, ,<30,15,0.5,0
