Date,EmpID,Gender,Age,EthnicGroup,FP,TermDate,isNewHire,BU Region,HireDate,PayType,TermReason,AgeGroup,TenureDays,TenureMonths,BadHires
3/1/2017,1924,M,25,Group G,PT,, ,North,1/5/2012,Hourly, ,<30,421,14.03,0
3/1/2017,1950,M,38,Group A,PT,, ,North,8/27/2008,Hourly, ,30-49,1647,54.9,0
3/1/2017,1966,M,35,Group A,PT,, ,North,9/8/2012,Hourly, ,30-49,174,5.8,0
3/1/2017,4138,M,25,Group E,PT,, ,South,7/13/2012,Hourly, ,<30,231,7.7,0
3/1/2017,4340,F,24,Group B,PT,, ,South,11/1/2012,Hourly, ,<30,120,4,0
3/1/2017,5052,F,22,Group C,PT,, ,South,6/2/2011,Hourly, ,<30,638,21.27,0
3/1/2017,5202,M,24,Group E,PT,, ,North,8/12/2010,Hourly, ,<30,932,31.07,0
3/1/2017,7104,F,24,Group E,PT,,Yes,North,3/20/2013,Hourly, ,<30,0,0,0
3/1/2017,8506,F,20,Group C,PT,, ,Midwest,9/12/2012,Hourly, ,<30,170,5.67,0
3/1/2017,9460,M,20,Group D,PT,, ,North,9/27/2011,Hourly, ,<30,521,17.37,0
3/1/2017,10742,F,24,Group G,PT,, ,South,6/20/2012,Hourly, ,<30,254,8.47,0
3/1/2017,16664,M,26,Group F,PT,, ,North,9/25/2008,Hourly, ,<30,1618,53.93,0
3/1/2017,16678,M,56,Group A,FT,, ,Northwest,6/7/2012,Hourly, ,50+,267,8.9,0
3/1/2017,16718,M,27,Group A,PT,, ,South,2/8/2013,Hourly, ,<30,21,0.7,0
3/1/2017,16730,F,76,Group E,FT,, ,North,5/24/2011,Hourly, ,50+,647,21.57,0
3/1/2017,17146,F,23,Group D,PT,, ,West,11/16/2010,Hourly, ,<30,836,27.87,0
3/1/2017,17362,F,28,Group B,FT,, ,East,12/20/2011,Hourly, ,<30,437,14.57,0
3/1/2017,17854,M,22,Group E,PT,, ,West,3/15/2012,Hourly, ,<30,351,11.7,0
3/1/2017,17998,M,46,Group C,PT,, ,Northwest,9/2/2012,Hourly, ,30-49,180,6,0
3/1/2017,18230,M,47,Group A,PT,, ,North,10/24/2007,Hourly, ,30-49,1955,65.17,0
3/1/2017,18926,F,22,Group A,PT,, ,West,11/30/2012,Hourly, ,<30,91,3.03,0
3/1/2017,19130,F,43,Group F,PT,, ,North,9/14/2012,Hourly, ,30-49,168,5.6,0
3/1/2017,19600,F,23,Group A,FT,, ,Northwest,4/27/2011,Hourly, ,<30,674,22.47,0
3/1/2017,20706,M,44,Group F,PT,, ,South,7/21/2011,Hourly, ,30-49,589,19.63,0
3/1/2017,21208,M,29,Group A,FT,, ,Northwest,7/13/2000,Hourly, ,<30,4614,153.8,0
3/1/2017,21544,F,26,Group B,PT,, ,Northwest,9/2/2010,Hourly, ,<30,911,30.37,0
3/1/2017,22578,F,68,Group C,FT,, ,Northwest,5/5/2011,Hourly, ,50+,666,22.2,0
3/1/2017,23112,F,20,Group G,PT,, ,North,2/22/2012,Hourly, ,<30,373,12.43,0
3/1/2017,23394,M,22,Group B,PT,, ,Central,9/22/2012,Hourly, ,<30,160,5.33,0
3/1/2017,25168,F,20,Group D,PT,, ,Midwest,10/25/2012,Hourly, ,<30,127,4.23,0
3/1/2017,25640,M,25,Group D,PT,, ,West,8/24/2012,Hourly, ,<30,189,6.3,0
3/1/2017,25882,F,21,Group D,PT,, ,Northwest,6/22/2012,Hourly, ,<30,252,8.4,0
3/1/2017,25892,F,19,Group F,PT,, ,Northwest,6/29/2012,Hourly, ,<30,245,8.17,0
3/1/2017,26228,M,55,Group D,PT,, ,North,9/17/2008,Hourly, ,50+,1626,54.2,0
3/1/2017,26778,M,17,Group C,PT,, ,Central,1/20/2013,Hourly, ,<30,40,1.33,0
3/1/2017,26924,F,22,Group F,PT,, ,West,9/21/2012,Hourly, ,<30,161,5.37,0
