Date,EmpID,Gender,Age,EthnicGroup,FP,TermDate,isNewHire,BU Region,HireDate,PayType,TermReason,AgeGroup,TenureDays,TenureMonths,BadHires
12/1/2015,1950,M,36,Group A,PT,, ,North,8/27/2008,Hourly, ,30-49,1191,39.7,0
12/1/2015,5052,F,20,Group C,PT,, ,South,6/2/2011,Hourly, ,<30,182,6.07,0
12/1/2015,5202,M,22,Group E,PT,, ,North,8/12/2010,Hourly, ,<30,476,15.87,0
12/1/2015,16664,M,24,Group F,PT,, ,North,9/25/2008,Hourly, ,<30,1162,38.73,0
12/1/2015,16730,F,74,Group E,FT,, ,North,5/24/2011,Hourly, ,50+,191,6.37,0
12/1/2015,17146,F,21,Group D,PT,, ,West,11/16/2010,Hourly, ,<30,380,12.67,0
12/1/2015,17362,F,26,Group B,FT,,Yes,East,10/20/2011,Hourly, ,<30,0,0,0
12/1/2015,18230,M,45,Group A,PT,, ,North,10/24/2007,Hourly, ,30-49,1499,49.97,0
12/1/2015,19600,F,21,Group A,FT,, ,Northwest,4/27/2011,Hourly, ,<30,218,7.27,0
12/1/2015,20706,M,42,Group F,PT,, ,South,7/21/2011,Hourly, ,30-49,133,4.43,0
12/1/2015,21208,M,27,Group A,FT,, ,Northwest,7/13/2000,Hourly, ,<30,4158,138.6,0
12/1/2015,21544,F,24,Group B,PT,, ,Northwest,9/2/2010,Hourly, ,<30,455,15.17,0
12/1/2015,22578,F,66,Group C,FT,, ,Northwest,5/5/2011,Hourly, ,50+,210,7,0
12/1/2015,26228,M,53,Group D,PT,, ,North,9/17/2008,Hourly, ,50+,1170,39,0
12/1/2015,26954,M,85,Group B,PT,, ,West,8/27/2009,Hourly, ,50+,826,27.53,0
12/1/2015,27450,F,19,Group G,PT,, ,North,11/10/2011,Hourly, ,<30,21,0.7,0
12/1/2015,29062,M,41,Group G,FT,, ,Midwest,5/26/2009,Hourly, ,30-49,919,30.63,0
12/1/2015,29632,M,26,Group F,PT,, ,Central,4/1/2010,Hourly, ,<30,609,20.3,0
12/1/2015,30248,F,37,Group C,FT,, ,Northwest,11/14/2006,Hourly, ,30-49,1843,61.43,0
12/1/2015,30934,M,51,Group B,PT,12/1/2011, ,Northwest,11/3/2011,Hourly,Involuntary,50+,28,0.93,1
12/1/2015,33066,F,28,Group E,PT,, ,South,4/13/2011,Hourly, ,<30,232,7.73,0
12/1/2015,33124,M,25,Group F,PT,, ,North,8/14/2007,Hourly, ,<30,1570,52.33,0
12/1/2015,33240,F,28,Group E,FT,, ,Midwest,6/26/2002,Salary, ,<30,3445,114.83,0
12/1/2015,33258,M,33,Group D,FT,, ,West,4/4/2008,Salary, ,30-49,1336,44.53,0
12/1/2015,33262,F,46,Group E,FT,, ,Northwest,3/19/2008,Salary, ,30-49,1352,45.07,0
12/1/2015,33278,F,30,Group E,FT,, ,Midwest,9/29/2011,Salary, ,30-49,63,2.1,0
12/1/2015,33288,F,44,Group G,FT,, ,East,7/16/2008,Salary, ,30-49,1233,41.1,0
12/1/2015,33296,F,31,Group G,FT,, ,East,8/27/2008,Salary, ,30-49,1191,39.7,0
12/1/2015,33312,F,49,Group C,FT,, ,East,10/4/2011,Salary, ,30-49,58,1.93,0
12/1/2015,40406,M,46,Group B,FT,, ,North,4/9/2005,Hourly, ,30-49,2427,80.9,0
12/1/2015,40436,F,22,Group C,PT,, ,North,6/21/2007,Hourly, ,<30,1624,54.13,0
12/1/2015,40472,F,54,Group E,FT,, ,North,5/18/2005,Hourly, ,50+,2388,79.6,0
12/1/2015,40478,M,19,Group C,PT,, ,North,2/11/2011,Hourly, ,<30,162,5.4,0
12/1/2015,40484,M,18,Group F,PT,,Yes,North,12/13/2011,Hourly, ,<30,0,0,0
12/1/2015,40486,M,25,Group A,PT,, ,North,11/2/2011,Hourly, ,<30,29,0.97,0
12/1/2015,40488,M,34,Group D,FT,, ,North,5/23/2011,Hourly, ,30-49,192,6.4,0
12/1/2015,40542,M,44,Group D,PT,, ,North,6/21/2005,Hourly, ,30-49,2354,78.47,0
12/1/2015,40548,F,28,Group E,FT,, ,North,5/2/2007,Hourly, ,<30,1674,55.8,0
12/1/2015,40554,M,65,Group C,PT,, ,North,2/23/2007,Hourly, ,50+,1742,58.07,0
12/1/2015,40754,F,21,Group D,PT,, ,North,8/7/2008,Hourly, ,<30,1211,40.37,0
12/1/2015,41050,M,26,Group F,PT,, ,Midwest,12/29/2007,Hourly, ,<30,1433,47.77,0
12/1/2015,41058,F,21,Group C,PT,12/1/2011, ,Midwest,10/26/2011,Hourly,Involuntary,<30,36,1.2,1
12/1/2015,41082,F,20,Group F,PT,, ,Midwest,2/18/2010,Hourly, ,<30,651,21.7,0
12/1/2015,41332,M,23,Group G,FT,, ,Midwest,10/20/2009,Hourly, ,<30,772,25.73,0
12/1/2015,41344,M,63,Group F,PT,, ,Midwest,8/30/2005,Hourly, ,50+,2284,76.13,0
12/1/2015,41510,M,22,Group A,PT,, ,South,10/26/2011,Hourly, ,<30,36,1.2,0
12/1/2015,42236,M,62,Group G,FT,, ,South,6/15/2011,Hourly, ,50+,169,5.63,0
12/1/2015,42684,M,22,Group A,FT,, ,South,2/14/2006,Hourly, ,<30,2116,70.53,0
12/1/2015,42708,M,59,Group E,PT,, ,South,10/27/2011,Hourly, ,50+,35,1.17,0
12/1/2015,42892,M,56,Group G,FT,, ,South,6/19/2007,Hourly, ,50+,1626,54.2,0
12/1/2015,42924,F,21,Group E,PT,, ,South,6/23/2011,Hourly, ,<30,161,5.37,0
12/1/2015,43356,F,20,Group B,FT,, ,South,9/2/2009,Hourly, ,<30,820,27.33,0
12/1/2015,43430,F,46,Group A,FT,, ,North,9/16/2011,Hourly, ,30-49,76,2.53,0
12/1/2015,43432,F,33,Group C,FT,, ,North,3/10/2011,Hourly, ,30-49,266,8.87,0
12/1/2015,43440,F,23,Group G,FT,, ,North,5/31/2007,Hourly, ,<30,1645,54.83,0
12/1/2015,43526,M,55,Group C,FT,, ,North,4/26/2008,Hourly, ,50+,1314,43.8,0
12/1/2015,43538,M,23,Group C,PT,, ,North,6/12/2008,Hourly, ,<30,1267,42.23,0
12/1/2015,43606,F,21,Group B,PT,, ,North,8/31/2011,Hourly, ,<30,92,3.07,0
12/1/2015,43610,M,22,Group C,PT,, ,North,3/20/2007,Hourly, ,<30,1717,57.23,0
12/1/2015,43612,M,52,Group G,PT,, ,North,2/27/2007,Hourly, ,50+,1738,57.93,0
12/1/2015,43672,F,20,Group D,FT,, ,North,11/3/2006,Hourly, ,<30,1854,61.8,0
12/1/2015,43678,M,57,Group A,FT,, ,North,4/9/2007,Hourly, ,50+,1697,56.57,0
12/1/2015,43728,F,20,Group D,PT,, ,North,10/3/2011,Hourly, ,<30,59,1.97,0
12/1/2015,43738,M,20,Group D,PT,, ,North,6/22/2010,Hourly, ,<30,527,17.57,0
